hhid,milieu,region
201,Urbain,DAKAR
203,Urbain,DAKAR
204,Urbain,DAKAR
205,Urbain,DAKAR
206,Urbain,DAKAR
207,Urbain,DAKAR
208,Urbain,DAKAR
212,Urbain,DAKAR
213,Urbain,DAKAR
214,Urbain,DAKAR
215,Urbain,DAKAR
216,Urbain,DAKAR
302,Urbain,DAKAR
303,Urbain,DAKAR
304,Urbain,DAKAR
305,Urbain,DAKAR
306,Urbain,DAKAR
307,Urbain,DAKAR
309,Urbain,DAKAR
313,Urbain,DAKAR
314,Urbain,DAKAR
315,Urbain,DAKAR
316,Urbain,DAKAR
317,Urbain,DAKAR
401,Urbain,DAKAR
402,Urbain,DAKAR
403,Urbain,DAKAR
404,Urbain,DAKAR
405,Urbain,DAKAR
407,Urbain,DAKAR
408,Urbain,DAKAR
409,Urbain,DAKAR
411,Urbain,DAKAR
412,Urbain,DAKAR
413,Urbain,DAKAR
502,Urbain,DAKAR
504,Urbain,DAKAR
505,Urbain,DAKAR
506,Urbain,DAKAR
507,Urbain,DAKAR
509,Urbain,DAKAR
510,Urbain,DAKAR
511,Urbain,DAKAR
512,Urbain,DAKAR
513,Urbain,DAKAR
514,Urbain,DAKAR
515,Urbain,DAKAR
602,Urbain,DAKAR
603,Urbain,DAKAR
604,Urbain,DAKAR
605,Urbain,DAKAR
606,Urbain,DAKAR
607,Urbain,DAKAR
608,Urbain,DAKAR
610,Urbain,DAKAR
611,Urbain,DAKAR
612,Urbain,DAKAR
613,Urbain,DAKAR
614,Urbain,DAKAR
701,Urbain,DAKAR
702,Urbain,DAKAR
703,Urbain,DAKAR
713,Urbain,DAKAR
714,Urbain,DAKAR
715,Urbain,DAKAR
716,Urbain,DAKAR
717,Urbain,DAKAR
802,Urbain,DAKAR
803,Urbain,DAKAR
805,Urbain,DAKAR
807,Urbain,DAKAR
808,Urbain,DAKAR
809,Urbain,DAKAR
810,Urbain,DAKAR
812,Urbain,DAKAR
813,Urbain,DAKAR
814,Urbain,DAKAR
815,Urbain,DAKAR
816,Urbain,DAKAR
902,Urbain,DAKAR
905,Urbain,DAKAR
906,Urbain,DAKAR
907,Urbain,DAKAR
908,Urbain,DAKAR
909,Urbain,DAKAR
910,Urbain,DAKAR
911,Urbain,DAKAR
912,Urbain,DAKAR
913,Urbain,DAKAR
914,Urbain,DAKAR
915,Urbain,DAKAR
1001,Urbain,DAKAR
1002,Urbain,DAKAR
1003,Urbain,DAKAR
1004,Urbain,DAKAR
1005,Urbain,DAKAR
1006,Urbain,DAKAR
1007,Urbain,DAKAR
1008,Urbain,DAKAR
1012,Urbain,DAKAR
1013,Urbain,DAKAR
